City,xJun-00,xJul-00,xAug-00,xSep-00,xOct-00,xNov-00,xDec-00,xJan-01,xFeb-01,xMar-01,xApr-01,xMay-01,xJun-01,xJul-01,xAug-01,xSep-01,xOct-01,xNov-01,xDec-01,xJan-02,xFeb-02,xMar-02,xApr-02,xMay-02,xJun-02,xJul-02,xAug-02,xSep-02,xOct-02,xNov-02,xDec-02,xJan-03,xFeb-03,xMar-03,xApr-03,xMay-03,xJun-03,xJul-03,xAug-03,xSep-03,xOct-03,xNov-03,xDec-03,xJan-04,xFeb-04,xMar-04,xApr-04,xMay-04,xJun-04,xJul-04,xAug-04,xSep-04,xOct-04,xNov-04,xDec-04,xJan-05,xFeb-05,xMar-05,xApr-05,xMay-05,xJun-05,xJul-05,xAug-05,xSep-05,xOct-05,xNov-05,xDec-05,xJan-06,xFeb-06,xMar-06,xApr-06,xMay-06,xJun-06,xJul-06,xAug-06,xSep-06,xOct-06,xNov-06,xDec-06,xJan-07,xFeb-07,xMar-07,xApr-07,xMay-07,xJun-07,xJul-07,xAug-07,xSep-07,xOct-07,xNov-07,xDec-07,xJan-08,xFeb-08,xMar-08,xApr-08,xMay-08,xJun-08,xJul-08,xAug-08,xSep-08,xOct-08,xNov-08,xDec-08,xJan-09,xFeb-09,xMar-09,xApr-09,xMay-09,xJun-09,xJul-09,xAug-09,xSep-09,xOct-09,xNov-09,xDec-09,xJan-10,xFeb-10,xMar-10,xApr-10,xMay-10,xJun-10,xJul-10,xAug-10,xSep-10,xOct-10,xNov-10,xDec-10,xJan-11,xFeb-11,xMar-11,xApr-11,xMay-11,xJun-11,xJul-11,xAug-11,xSep-11,xOct-11,xNov-11,xDec-11,xJan-12,xFeb-12,xMar-12,xApr-12,xMay-12,xJun-12,xJul-12,xAug-12,xSep-12,xOct-12,xNov-12,xDec-12,xJan-13,xFeb-13,xMar-13,xApr-13,xMay-13,xJun-13,xJul-13,xAug-13,xSep-13,xOct-13,xNov-13,xDec-13,xJan-14,xFeb-14,xMar-14,xApr-14,xMay-14,xJun-14,xJul-14,xAug-14,xSep-14,xOct-14,xNov-14,xDec-14,xJan-15,xFeb-15,xMar-15,xApr-15,xMay-15,xJun-15,xJul-15,xAug-15,xSep-15,xOct-15,xNov-15,xDec-15,xJan-16,xFeb-16,xMar-16,xApr-16,xMay-16,xJun-16,xJul-16,xAug-16,xSep-16,xOct-16,xNov-16,xDec-16,xJan-17,xFeb-17,xMar-17,xApr-17,xMay-17,xJun-17,xJul-17,xAug-17,xSep-17,xOct-17,xNov-17,xDec-17,xJan-18,xFeb-18,xMar-18,xApr-18,xMay-18,xJun-18,xJul-18,xAug-18,xSep-18,xOct-18,xNov-18,xDec-18,xJan-19,xFeb-19,xMar-19,xApr-19,xMay-19,xJun-19,xJul-19,xAug-19,xSep-19,xOct-19,xNov-19,xDec-19,xJan-20,xFeb-20,xMar-20,xApr-20,xMay-20,xJun-20,xJul-20,xAug-20,xSep-20,xOct-20,xNov-20,xDec-20,xJan-21,xFeb-21,xMar-21,xApr-21
Boston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.542,1.559,1.653,1.814,1.722,1.612,1.561,1.624,1.694,1.752,1.777,2.018,2.106,1.991,1.95,1.922,2.029,2.034,1.929,1.874,1.936,2.042,2.206,2.205,2.209,2.395,2.557,3.08,2.72,2.225,2.186,2.379,2.303,2.36,2.724,2.989,3.028,3.061,3.038,2.649,2.248,2.218,2.345,2.306,2.25,2.547,2.784,3.038,3.024,2.945,2.784,2.696,2.726,3.022,3.064,3.078,3.024,3.144,3.36,3.768,4.061,4.077,3.775,3.591,3.017,2.2,1.738,1.76,1.907,1.94,2.032,2.262,2.621,2.573,2.645,2.616,2.548,2.674,2.645,2.737,2.702,2.735,2.819,2.877,2.752,2.735,2.721,2.65,2.81,2.953,3.081,3.163,3.233,3.535,3.766,3.984,3.806,3.785,3.774,3.687,3.517,3.456,3.343,3.457,3.645,3.798,3.921,3.794,3.581,3.559,3.778,3.927,3.9,3.687,3.521,3.504,3.751,3.756,3.604,3.556,3.591,3.691,3.753,3.695,3.507,3.404,3.508,3.515,3.475,3.579,3.659,3.728,3.737,3.736,3.596,3.527,3.339,3.055,2.778,2.33,2.25,2.431,2.458,2.696,2.797,2.796,2.603,2.383,2.26,2.217,2.163,2.058,1.918,1.987,2.172,2.345,2.411,2.337,2.226,2.257,2.308,2.282,2.327,2.401,2.351,2.33,2.41,2.47,2.421,2.379,2.445,2.828,2.715,2.688,2.649,2.659,2.705,2.664,2.781,2.952,2.969,2.956,2.942,2.923,2.899,2.809,2.674,2.521,2.464,2.532,2.741,2.903,2.812,2.802,2.78,2.685,2.657,2.643,2.635,2.639,2.581,2.387,2.046,2.041,2.136,2.186,2.193,2.191,2.175,2.154,2.244,2.385,2.536,2.805,2.832
Chicago,2.075,1.611,1.404,1.56,1.551,1.567,1.483,1.562,1.522,1.427,1.735,2.022,1.783,1.416,1.64,1.849,1.466,1.261,1.204,1.153,1.152,1.372,1.543,1.577,1.566,1.526,1.524,1.532,1.6,1.53,1.448,1.54,1.696,1.754,1.608,1.584,1.623,1.606,1.725,1.799,1.689,1.643,1.576,1.676,1.751,1.802,1.908,2.123,2.044,1.982,1.97,1.951,2.075,2.047,1.872,1.899,1.963,2.185,2.327,2.22,2.228,2.413,2.652,2.947,2.768,2.337,2.304,2.39,2.316,2.537,2.845,2.978,3.039,3.229,3.209,2.792,2.343,2.329,2.375,2.273,2.378,2.569,2.948,3.5,3.442,3.26,3.082,3.187,2.938,3.183,3.107,3.175,3.155,3.364,3.665,4.021,4.23,4.271,4.061,4.065,3.374,2.331,1.754,1.987,1.978,2.065,2.182,2.536,2.887,2.699,2.738,2.634,2.675,2.796,2.738,2.87,2.768,2.939,3.102,3.084,2.943,2.923,2.906,2.983,2.996,3.049,3.161,3.292,3.412,3.745,4.16,4.328,4.1,3.995,3.937,3.903,3.567,3.56,3.414,3.602,3.644,4.267,4.293,4.097,3.873,3.749,4.2,4.248,3.884,3.614,3.462,3.45,3.963,3.958,3.995,4.207,4.278,4.002,3.841,3.769,3.542,3.41,3.417,3.524,3.61,3.911,4.082,3.974,4.09,3.804,3.702,3.735,3.437,3.164,2.716,2.217,2.462,2.699,2.79,2.998,3.208,3.072,3.09,2.8,2.711,2.33,2.2,2.068,1.808,2.195,2.357,2.566,2.764,2.455,2.441,2.45,2.429,2.325,2.526,2.566,2.464,2.513,2.682,2.626,2.528,2.528,2.558,2.7,2.699,2.888,2.7,2.806,2.702,2.79,2.981,3.21,3.188,3.094,3.046,3.046,3.014,2.713,2.379,2.266,2.46,2.731,3.119,3.281,3.094,3.228,2.95,2.876,2.876,2.753,2.725,2.764,2.682,2.454,2.029,2.281,2.464,2.497,2.463,2.45,2.385,2.325,2.403,2.574,2.754,3.119,3.181
Cleveland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.498,1.516,1.658,1.699,1.604,1.54,1.452,1.611,1.682,1.734,1.795,1.988,1.882,1.895,1.885,1.897,2.009,1.934,1.793,1.888,1.975,2.168,2.217,2.095,2.162,2.271,2.496,2.889,2.63,2.149,2.227,2.349,2.25,2.481,2.752,2.847,2.821,2.988,2.867,2.343,2.16,2.273,2.298,2.188,2.362,2.53,2.815,3.249,3.018,2.909,2.758,2.94,2.817,3.142,3.005,3.079,3.056,3.261,3.386,3.841,4.033,3.984,3.718,3.753,2.887,1.953,1.688,1.924,1.89,1.985,2.035,2.34,2.734,2.509,2.597,2.506,2.555,2.638,2.632,2.745,2.6,2.755,2.846,2.786,2.736,2.764,2.7,2.781,2.838,2.923,3.043,3.166,3.235,3.584,3.89,3.988,3.642,3.658,3.649,3.575,3.346,3.319,3.299,3.448,3.554,3.895,3.819,3.73,3.627,3.467,3.816,3.842,3.636,3.502,3.358,3.337,3.721,3.748,3.613,3.777,3.806,3.531,3.567,3.541,3.34,3.251,3.315,3.397,3.491,3.665,3.762,3.787,3.844,3.519,3.51,3.439,3.157,2.946,2.508,2.043,2.302,2.42,2.451,2.638,2.862,2.679,2.575,2.334,2.437,2.181,2.026,1.887,1.754,2.021,2.191,2.425,2.576,2.232,2.251,2.215,2.265,2.183,2.363,2.365,2.228,2.284,2.449,2.368,2.302,2.296,2.374,2.589,2.451,2.705,2.48,2.54,2.498,2.515,2.72,2.868,2.806,2.816,2.802,2.82,2.781,2.493,2.13,2.058,2.282,2.494,2.701,2.739,2.632,2.778,2.666,2.662,2.592,2.544,2.626,2.576,2.479,2.05,1.542,1.897,2.217,2.229,2.201,2.168,2.165,2.04,2.136,2.313,2.518,2.78,2.815
Denver,1.612,1.65,1.545,1.587,1.573,1.583,1.543,1.477,1.507,1.461,1.603,1.781,1.775,1.559,1.472,1.657,1.478,1.224,1.092,1.133,1.135,1.264,1.406,1.411,1.384,1.462,1.494,1.446,1.528,1.498,1.427,1.488,1.603,1.681,1.577,1.499,1.504,1.518,1.636,1.701,1.553,1.525,1.461,1.533,1.584,1.73,1.848,1.987,1.984,1.928,1.891,1.875,1.974,1.952,1.851,1.792,1.886,2.112,2.264,2.181,2.124,2.272,2.474,2.986,2.785,2.337,2.162,2.258,2.236,2.422,2.7,2.848,2.831,2.967,3.036,2.841,2.374,2.164,2.188,2.151,2.22,2.526,2.8,3.275,3.244,3.099,2.897,2.894,2.816,3.043,2.897,2.879,2.96,3.148,3.392,3.702,3.971,4.033,3.874,3.707,3.109,2.115,1.63,1.62,1.863,1.906,2.051,2.255,2.54,2.497,2.541,2.479,2.453,2.577,2.497,2.558,2.555,2.67,2.751,2.752,2.685,2.679,2.715,2.765,2.749,2.724,2.768,2.938,3.089,3.392,3.582,3.765,3.674,3.528,3.493,3.553,3.503,3.424,3.199,3.045,3.122,3.543,3.906,3.82,3.73,3.592,3.527,3.693,3.704,3.457,3.201,2.922,3.448,3.597,3.598,3.764,3.766,3.599,3.566,3.571,3.394,3.216,3.109,3.206,3.331,3.634,3.583,3.509,3.563,3.65,3.682,3.624,3.304,3.027,2.571,1.998,2.084,2.267,2.352,2.603,2.693,2.803,2.891,2.66,2.381,2.086,1.959,1.905,1.711,1.988,2.093,2.26,2.334,2.273,2.191,2.256,2.25,2.162,2.166,2.331,2.261,2.273,2.373,2.421,2.412,2.338,2.413,2.623,2.547,2.626,2.541,2.494,2.531,2.487,2.667,2.858,2.922,2.854,2.854,2.973,3.004,2.79,2.432,2.184,2.139,2.401,2.714,2.901,2.853,2.691,2.57,2.671,2.799,2.875,2.822,2.681,2.546,2.239,1.854,1.864,2.442,2.596,2.493,2.392,2.303,2.226,2.274,2.392,2.518,2.925,3.054
Houston,1.57,1.58,1.508,1.492,1.465,1.442,1.397,1.416,1.42,1.381,1.559,1.652,1.565,1.385,1.329,1.401,1.281,1.102,1.025,1.058,1.077,1.221,1.401,1.388,1.353,1.35,1.354,1.365,1.418,1.406,1.372,1.438,1.586,1.62,1.51,1.41,1.408,1.443,1.527,1.556,1.432,1.405,1.399,1.507,1.575,1.622,1.691,1.859,1.872,1.799,1.793,1.779,1.898,1.89,1.763,1.752,1.811,1.985,2.147,2.069,2.067,2.214,2.439,2.863,2.783,2.255,2.136,2.29,2.221,2.374,2.782,2.924,2.907,2.941,2.872,2.417,2.092,2.08,2.198,2.13,2.13,2.426,2.752,2.974,2.94,2.835,2.67,2.625,2.639,2.909,2.878,2.945,2.939,3.184,3.401,3.677,3.928,3.951,3.642,3.598,2.949,1.973,1.583,1.663,1.817,1.87,1.997,2.186,2.484,2.385,2.509,2.355,2.39,2.528,2.472,2.597,2.519,2.663,2.75,2.748,2.599,2.575,2.583,2.552,2.67,2.704,2.869,2.974,3.09,3.488,3.763,3.848,3.576,3.572,3.555,3.435,3.279,3.215,3.128,3.278,3.534,3.791,3.899,3.67,3.388,3.315,3.561,3.69,3.528,3.245,3.151,3.248,3.55,3.611,3.5,3.442,3.421,3.486,3.495,3.361,3.152,3.095,3.184,3.188,3.189,3.366,3.527,3.526,3.524,3.485,3.375,3.27,3.079,2.835,2.472,2.009,2.071,2.284,2.323,2.486,2.584,2.589,2.446,2.194,2.069,1.988,1.87,1.792,1.634,1.854,1.975,2.102,2.207,2.131,2.056,2.074,2.11,2.04,2.087,2.213,2.157,2.159,2.317,2.273,2.197,2.112,2.222,2.545,2.366,2.319,2.264,2.353,2.368,2.404,2.589,2.746,2.789,2.722,2.659,2.596,2.629,2.42,2.137,2.029,2.104,2.356,2.631,2.666,2.509,2.527,2.466,2.389,2.317,2.275,2.269,2.293,2.193,2.055,1.708,1.634,1.813,1.94,1.908,1.91,1.853,1.805,1.897,2.078,2.237,2.577,2.619
LosAngeles,1.592,1.645,1.59,1.727,1.746,1.692,1.627,1.554,1.607,1.655,1.75,2.007,1.981,1.818,1.571,1.621,1.47,1.252,1.065,1.167,1.303,1.49,1.622,1.584,1.601,1.61,1.604,1.604,1.536,1.575,1.52,1.61,1.812,2.135,2.083,1.882,1.793,1.749,1.912,2.095,1.847,1.742,1.697,1.747,1.966,2.2,2.234,2.331,2.35,2.249,2.135,2.119,2.404,2.371,2.17,2.054,2.21,2.386,2.609,2.529,2.423,2.565,2.738,3.004,2.93,2.61,2.348,2.436,2.568,2.664,2.95,3.412,3.299,3.305,3.251,2.957,2.59,2.507,2.579,2.59,2.678,3.09,3.326,3.476,3.302,3.134,2.904,2.906,3.097,3.361,3.314,3.277,3.195,3.599,3.843,3.991,4.537,4.533,4.129,3.812,3.44,2.575,1.867,2.026,2.247,2.236,2.382,2.532,2.977,2.939,3.065,3.176,3.082,3.055,3.008,3.112,3.045,3.136,3.167,3.16,3.161,3.185,3.187,3.057,3.154,3.211,3.313,3.411,3.592,4.029,4.236,4.267,4,3.894,3.853,4.003,3.929,3.896,3.695,3.825,4.107,4.48,4.352,4.407,4.145,3.864,4.162,4.229,4.511,3.925,3.694,3.766,4.27,4.303,4.078,4.089,4.098,4.134,3.962,4.03,3.839,3.662,3.706,3.709,3.804,4.067,4.305,4.271,4.211,4.136,3.947,3.803,3.609,3.258,2.948,2.627,2.821,3.457,3.33,3.945,3.714,4.109,3.813,3.317,3.04,2.898,2.914,3.021,2.609,2.801,2.878,2.895,2.988,2.955,2.742,2.835,2.922,2.857,2.796,2.917,3.045,3.097,3.099,3.116,3.049,2.993,3.098,3.228,3.128,3.35,3.2,3.371,3.523,3.567,3.655,3.703,3.671,3.592,3.551,3.584,3.775,3.622,3.346,3.206,3.242,3.335,3.903,3.978,3.753,3.65,3.528,3.691,4.098,3.93,3.607,3.499,3.474,3.284,2.84,2.769,2.96,3.083,3.126,3.137,3.102,3.059,3.096,3.231,3.453,3.788,3.901
Miami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.571,1.601,1.678,1.747,1.658,1.604,1.574,1.688,1.76,1.84,1.902,2.059,2.105,2.036,1.932,1.99,2.094,2.119,2.055,1.987,2.036,2.198,2.389,2.344,2.306,2.398,2.613,2.992,2.962,2.618,2.443,2.49,2.477,2.591,2.905,3.014,2.96,3.049,3.097,2.836,2.46,2.366,2.444,2.376,2.367,2.666,2.953,3.182,3.178,3.091,2.935,2.932,2.971,3.236,3.235,3.245,3.228,3.423,3.627,3.943,4.204,4.208,3.96,3.913,3.323,2.444,1.93,1.972,2.137,2.161,2.233,2.41,2.775,2.713,2.758,2.658,2.685,2.838,2.797,2.886,2.86,2.959,2.996,2.975,2.87,2.837,2.84,2.839,2.931,2.99,3.162,3.267,3.352,3.729,3.935,4.026,3.872,3.851,3.856,3.779,3.626,3.579,3.489,3.616,3.829,4.007,4.079,3.813,3.618,3.59,3.901,4.047,3.899,3.653,3.587,3.655,3.951,3.996,3.785,3.709,3.751,3.785,3.789,3.74,3.574,3.537,3.656,3.637,3.635,3.762,3.954,3.882,3.832,3.762,3.653,3.593,3.399,3.177,2.873,2.482,2.534,2.729,2.791,2.908,2.986,2.978,2.797,2.612,2.552,2.515,2.469,2.329,2.159,2.304,2.412,2.552,2.631,2.574,2.486,2.514,2.578,2.518,2.605,2.714,2.696,2.69,2.745,2.707,2.64,2.549,2.614,4.451,2.894,2.859,2.803,2.874,2.937,2.913,3.026,2.968,2.897,2.866,2.86,2.861,2.881,2.688,2.451,2.327,2.357,2.644,2.82,2.766,2.618,2.674,2.518,2.525,2.522,2.493,2.553,2.585,2.477,2.284,2.007,1.941,2.054,2.172,2.184,2.225,2.214,2.12,2.251,2.387,2.567,2.876,2.943
NewYork,1.707,1.741,1.685,1.675,1.659,1.651,1.618,1.57,1.555,1.527,1.61,1.808,1.818,1.703,1.596,1.554,1.453,1.314,1.206,1.209,1.208,1.292,1.47,1.502,1.488,1.486,1.523,1.531,1.544,1.563,1.568,1.598,1.697,1.753,1.708,1.635,1.564,1.571,1.667,1.849,1.768,1.699,1.643,1.672,1.732,1.791,1.824,2.052,2.157,2.087,2.029,1.971,2.065,2.073,1.995,1.934,1.953,2.049,2.23,2.255,2.247,2.422,2.578,3.156,2.804,2.367,2.276,2.461,2.389,2.442,2.81,3.083,3.091,3.175,3.112,2.729,2.315,2.271,2.405,2.381,2.325,2.647,2.899,3.137,3.141,3.059,2.879,2.786,2.808,3.105,3.149,3.167,3.114,3.253,3.466,3.874,4.187,4.203,3.916,3.697,3.168,2.397,1.879,1.816,1.981,2.001,2.09,2.324,2.692,2.676,2.737,2.703,2.628,2.755,2.727,2.807,2.779,2.816,2.886,2.971,2.855,2.838,2.799,2.735,2.881,3.019,3.175,3.254,3.338,3.647,3.879,4.089,3.896,3.861,3.853,3.783,3.612,3.548,3.438,3.563,3.759,3.901,4.014,3.875,3.653,3.648,3.873,4.014,3.963,3.811,3.673,3.642,3.855,3.839,3.695,3.675,3.695,3.782,3.813,3.739,3.527,3.479,3.6,3.585,3.577,3.681,3.75,3.821,3.844,3.815,3.648,3.527,3.353,3.142,2.862,2.398,2.344,2.517,2.558,2.79,2.864,2.876,2.677,2.415,2.295,2.275,2.209,2.088,1.92,1.981,2.19,2.359,2.414,2.361,2.282,2.302,2.333,2.438,2.505,2.597,2.53,2.484,2.556,2.562,2.538,2.501,2.564,2.886,2.688,2.721,2.674,2.742,2.799,2.732,2.901,3.057,3.02,2.975,2.963,2.953,2.952,2.785,2.578,2.473,2.451,2.623,2.86,2.981,2.847,2.86,2.786,2.673,2.625,2.641,2.63,2.669,2.559,2.404,2.148,2.104,2.185,2.233,2.222,2.228,2.222,2.191,2.291,2.466,2.648,2.893,2.895
SanFrancisco,1.816,1.901,1.9,1.999,1.996,1.967,1.893,1.799,1.796,1.851,1.977,2.064,2.061,1.929,1.74,1.874,1.783,1.637,1.408,1.326,1.313,1.512,1.707,1.674,1.699,1.722,1.713,1.684,1.642,1.716,1.692,1.781,1.952,2.2,2.131,1.955,1.898,1.9,1.99,2.126,1.902,1.776,1.695,1.749,1.932,2.182,2.195,2.318,2.353,2.255,2.157,2.145,2.411,2.401,2.174,1.981,2.107,2.33,2.656,2.595,2.438,2.614,2.763,3.061,2.962,2.544,2.253,2.398,2.519,2.603,2.94,3.349,3.241,3.227,3.168,2.909,2.577,2.511,2.607,2.703,2.832,3.209,3.429,3.572,3.447,3.292,3.071,2.999,3.174,3.5,3.463,3.403,3.34,3.672,3.88,4.041,4.517,4.525,4.201,3.935,3.574,2.54,1.897,2.06,2.252,2.224,2.364,2.53,2.985,2.953,3.09,3.208,3.121,3.034,2.969,3.078,2.999,3.118,3.15,3.155,3.183,3.212,3.221,3.103,3.174,3.234,3.337,3.412,3.601,4.023,4.229,4.253,3.985,3.869,3.859,3.986,3.902,3.834,3.633,3.729,4.026,4.392,4.278,4.366,4.147,3.82,4.133,4.238,4.478,3.925,3.643,3.67,4.078,4.183,4.057,4.079,4.068,4.046,3.937,4.007,3.915,3.691,3.652,3.693,3.732,3.993,4.204,4.257,4.202,4.136,4.009,3.882,3.636,3.302,2.984,2.678,2.777,3.395,3.293,3.76,3.587,3.587,3.442,3.115,2.951,2.847,2.753,2.737,2.502,2.68,2.865,2.927,2.979,2.973,2.804,2.861,2.876,2.787,2.784,2.897,2.967,3.097,3.116,3.179,3.193,3.09,3.124,3.277,3.214,3.328,3.269,3.277,3.424,3.527,3.696,3.77,3.765,3.717,3.636,3.662,3.826,3.719,3.515,3.392,3.349,3.442,3.949,4.117,3.893,3.763,3.642,3.741,4.173,3.998,3.668,3.56,3.53,3.314,2.936,2.902,3.075,3.22,3.318,3.335,3.304,3.295,3.331,3.413,3.506,3.867,4.022
Seattle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.591,1.622,1.78,1.887,1.657,1.59,1.537,1.637,1.728,1.845,1.96,2.253,2.232,2.032,1.983,2.028,2.092,2.074,1.947,1.853,1.971,2.185,2.465,2.459,2.319,2.453,2.645,2.908,2.807,2.495,2.236,2.252,2.296,2.454,2.771,3.154,3.129,3.052,3.035,2.819,2.535,2.501,2.642,2.653,2.493,2.779,3.135,3.436,3.19,2.985,2.827,2.894,3.01,3.242,3.171,3.153,3.149,3.506,3.607,3.88,4.326,4.331,4.028,3.79,3.236,2.349,1.882,2.033,2.188,2.199,2.338,2.499,2.817,2.773,2.862,2.957,2.816,2.857,2.826,2.891,2.845,3,3.091,3.073,2.999,3.035,3.115,3.028,3.064,3.128,3.206,3.28,3.418,3.749,3.935,4.063,3.933,3.85,3.844,3.927,3.861,3.79,3.59,3.562,3.76,4.118,4.191,4.274,4.135,3.676,3.945,4.093,4.056,3.622,3.452,3.474,3.73,3.895,3.757,3.983,3.911,3.933,3.884,3.781,3.619,3.389,3.407,3.444,3.421,3.655,3.867,3.948,4.017,4.025,3.953,3.862,3.51,3.165,2.918,2.455,2.418,2.936,2.838,3.094,3.167,3.228,3.123,2.808,2.573,2.526,2.504,2.471,2.161,2.28,2.363,2.571,2.678,2.697,2.638,2.712,2.753,2.695,2.635,2.782,2.784,2.869,2.933,2.931,2.906,2.86,2.928,3.107,3.005,3.056,3.028,3.026,3.099,3.182,3.338,3.459,3.473,3.433,3.378,3.387,3.519,3.496,3.296,3.152,3.085,3.108,3.469,3.635,3.549,3.445,3.367,3.333,3.452,3.482,3.33,3.232,3.211,3.092,2.712,2.66,2.764,2.881,2.932,2.936,2.888,2.881,2.87,2.925,3.06,3.373,3.515
